output	script	required_results
Figure 1	make_fig1.R	fig1
Figure 2	make_fig2.R	fig2
Figure 3	make_fig3.R	fig3
Figure 4	make_fig4.R	fig4
Figure A1	make_figA1.R	figA1
Figure A2	make_figA2.R	figA2
Figure A3	make_fig3.R	fig3
Figure A4	make_fig2.R	fig2
Figure A5	make_fig2.R	figA5
Figure A6	make_fig3.R	figA6
Figure A7	make_fig2.R	fig2
Figure A8	make_fig3.R	figA6
Figure A9	make_fig2.R	figA5
Figure A10	make_figA10.R	figA10
Figure A11	make_figA11.R	figA11
Figure A12	make_figA12.R	figA12
Figure A13	make_fig1.R	fig1
Figure A14	make_figA14.R	figA14
Figure A15	make_figA15.R	figA15
Figure A16	make_figA15.R	figA15
Figure A17	make_figA15.R	figA15
Figure A18	make_figA15.R	figA15
Figure A19	make_figA15.R	figA15
Figure A20	make_figA15.R	figA15
Figure A21	make_figA21.R	figA21
Figure A22	make_figA21.R	figA21
Table A2	make_tabA2.R	tabA2
Table A4	make_fig1.R	fig1
